"name,value,year,lastValue,rank"
"Thailand-Thailand,130868,2010-Q1,130868,1"
"Thailand-Thailand,109805,2010-Q2,109805,1"
"Thailand-Thailand,134611,2010-Q3,134611,1"
"Thailand-Thailand,180915,2010-Q4,180915,1"
"Thailand-Thailand,254362,2011-Q1,254362,1"
"Thailand-Thailand,231601,2011-Q2,231601,1"
"Thailand-Thailand,275892,2011-Q3,275892,1"
"Thailand-Thailand,389931,2011-Q4,389931,1"
"Thailand-Thailand,460493,2012-Q1,460493,1"
"Thailand-Thailand,384571,2012-Q2,384571,1"
"Thailand-Thailand,422041,2012-Q3,422041,1"
"Thailand-Thailand,577088,2012-Q4,577088,1"
"Thailand-Thailand,670252,2013-Q1,670252,1"
"Thailand-Thailand,572803,2013-Q2,572803,1"
"Thailand-Thailand,607632,2013-Q3,607632,1"
"Thailand-Thailand,736953,2013-Q4,736953,1"
"Thailand-Thailand,831760,2014-Q1,831760,1"
"Thailand-Thailand,695058,2014-Q2,695058,1"
"Thailand-Thailand,691608,2014-Q3,691608,1"
"Thailand-Thailand,847484,2014-Q4,847484,1"
"Thailand-Thailand,898349,2015-Q1,898349,1"
"Thailand-Thailand,756954,2015-Q2,756954,1"
"Thailand-Thailand,688574,2015-Q3,688574,1"
"Thailand-Thailand,886000,2015-Q4,886000,1"
"Thailand-Thailand,1012751,2016-Q1,1012751,1"
"Thailand-Thailand,868254,2016-Q2,868254,1"
"Thailand-Thailand,868658,2016-Q3,868658,1"
"Thailand-Thailand,1094663,2016-Q4,1094663,1"
"Thailand-Thailand,1211016,2017-Q1,1211016,1"
"Thailand-Thailand,1073443,2017-Q2,1073443,1"
"Thailand-Thailand,1076677,2017-Q3,1076677,1"
"Thailand-Thailand,1319939,2017-Q4,1319939,1"
"Thailand-Thailand,1440984,2018-Q1,1440984,1"
"Thailand-Thailand,1395223,2018-Q2,1395223,1"
"Malaysia-Malaysia,1626569,2018-Q3,1626569,1"
"Malaysia-Malaysia,1847231,2018-Q4,1847231,1"
"Thailand-Thailand,1774241,2019-Q1,1774241,1"
"Malaysia-Malaysia,1795606,2019-Q2,1795606,1"
"Thailand-Japan,34680,2010-Q1,34680,2"
"Thailand-Japan,29243,2010-Q2,29243,2"
"Thailand-Japan,50546,2010-Q3,50546,2"
"Malaysia-Malaysia,56005,2010-Q4,56005,2"
"Malaysia-Malaysia,72318,2011-Q1,72318,2"
"Malaysia-Malaysia,92035,2011-Q2,92035,2"
"Malaysia-Malaysia,106201,2011-Q3,106201,2"
"Malaysia-Malaysia,149471,2011-Q4,149471,2"
"Malaysia-Malaysia,151825,2012-Q1,151825,2"
"Malaysia-Malaysia,180094,2012-Q2,180094,2"
"Indonesia-Indonesia,206315,2012-Q3,206315,2"
"Malaysia-Malaysia,303221,2012-Q4,303221,2"
"Malaysia-Malaysia,272456,2013-Q1,272456,2"
"Indonesia-Indonesia,336307,2013-Q2,336307,2"
"Indonesia-Indonesia,364329,2013-Q3,364329,2"
"Malaysia-Malaysia,464210,2013-Q4,464210,2"
"Malaysia-Malaysia,409109,2014-Q1,409109,2"
"Malaysia-Malaysia,493782,2014-Q2,493782,2"
"Indonesia-Indonesia,513279,2014-Q3,513279,2"
"Malaysia-Malaysia,598258,2014-Q4,598258,2"
"Malaysia-Malaysia,543355,2015-Q1,543355,2"
"Malaysia-Malaysia,617868,2015-Q2,617868,2"
"Malaysia-Malaysia,581561,2015-Q3,581561,2"
"Malaysia-Malaysia,746826,2015-Q4,746826,2"
"Malaysia-Malaysia,634822,2016-Q1,634822,2"
"Malaysia-Malaysia,700401,2016-Q2,700401,2"
"Malaysia-Malaysia,777785,2016-Q3,777785,2"
"Malaysia-Malaysia,908903,2016-Q4,908903,2"
"Malaysia-Malaysia,872298,2017-Q1,872298,2"
"Malaysia-Malaysia,943183,2017-Q2,943183,2"
"Malaysia-Malaysia,1007502,2017-Q3,1007502,2"
"Malaysia-Malaysia,1156906,2017-Q4,1156906,2"
"Malaysia-Malaysia,1174660,2018-Q1,1174660,2"
"Malaysia-Malaysia,1304655,2018-Q2,1304655,2"
"Thailand-Thailand,1458003,2018-Q3,1458003,2"
"Thailand-Thailand,1747341,2018-Q4,1747341,2"
"Malaysia-Malaysia,1718412,2019-Q1,1718412,2"
"Thailand-Thailand,1783771,2019-Q2,1783771,2"
"Thailand-Australia,33017,2010-Q1,33017,3"
"Malaysia-Malaysia,27539,2010-Q2,27539,3"
"Thailand-Australia,42700,2010-Q3,42700,3"
"Thailand-Australia,53413,2010-Q4,53413,3"
"Thailand-Australia,63896,2011-Q1,63896,3"
"Indonesia-Indonesia,79652,2011-Q2,79652,3"
"Indonesia-Indonesia,97572,2011-Q3,97572,3"
"Indonesia-Indonesia,108395,2011-Q4,108395,3"
"Indonesia-Indonesia,118767,2012-Q1,118767,3"
"Indonesia-Indonesia,175856,2012-Q2,175856,3"
"Malaysia-Malaysia,202277,2012-Q3,202277,3"
"Indonesia-Indonesia,268831,2012-Q4,268831,3"
"Indonesia-Indonesia,238165,2013-Q1,238165,3"
"Malaysia-Malaysia,332258,2013-Q2,332258,3"
"Malaysia-Malaysia,348415,2013-Q3,348415,3"
"Indonesia-Indonesia,403709,2013-Q4,403709,3"
"Indonesia-Indonesia,354763,2014-Q1,354763,3"
"Indonesia-Indonesia,483931,2014-Q2,483931,3"
"Malaysia-Malaysia,500699,2014-Q3,500699,3"
"Indonesia-Indonesia,552921,2014-Q4,552921,3"
"Indonesia-Indonesia,434343,2015-Q1,434343,3"
"Indonesia-Indonesia,552074,2015-Q2,552074,3"
"Indonesia-Indonesia,512715,2015-Q3,512715,3"
"Indonesia-Indonesia,527099,2015-Q4,527099,3"
"Indonesia-Indonesia,446529,2016-Q1,446529,3"
"Indonesia-Indonesia,487968,2016-Q2,487968,3"
"Indonesia-Indonesia,501968,2016-Q3,501968,3"
"Indonesia-Indonesia,636603,2016-Q4,636603,3"
"Indonesia-Indonesia,547031,2017-Q1,547031,3"
"Indonesia-Indonesia,646611,2017-Q2,646611,3"
"Indonesia-Indonesia,563749,2017-Q3,563749,3"
"Indonesia-Indonesia,636464,2017-Q4,636464,3"
"Indonesia-Indonesia,569015,2018-Q1,569015,3"
"Indonesia-Indonesia,722251,2018-Q2,722251,3"
"Indonesia-Indonesia,670844,2018-Q3,670844,3"
"Indonesia-Indonesia,755771,2018-Q4,755771,3"
"Indonesia-Indonesia,724341,2019-Q1,724341,3"
"Indonesia-Indonesia,995691,2019-Q2,995691,3"
"Thailand-United Kingdom,28189,2010-Q1,28189,4"
"Thailand-Australia,23041,2010-Q2,23041,4"
"Malaysia-Malaysia,34570,2010-Q3,34570,4"
"Thailand-Japan,52995,2010-Q4,52995,4"
"Thailand-Japan,55365,2011-Q1,55365,4"
"Thailand-Japan,62660,2011-Q2,62660,4"
"Thailand-Japan,81265,2011-Q3,81265,4"
"Thailand-Australia,88287,2011-Q4,88287,4"
"Thailand-Australia,96504,2012-Q1,96504,4"
"Philippines-Philippines,84297,2012-Q2,84297,4"
"Thailand-Australia,110457,2012-Q3,110457,4"
"Thailand-China,121979,2012-Q4,121979,4"
"Thailand-China,166207,2013-Q1,166207,4"
"Thailand-China,186968,2013-Q2,186968,4"
"Thailand-China,243026,2013-Q3,243026,4"
"Thailand-China,244171,2013-Q4,244171,4"
"Thailand-China,231417,2014-Q1,231417,4"
"Thailand-China,199169,2014-Q2,199169,4"
"Thailand-China,258342,2014-Q3,258342,4"
"Thailand-China,274660,2014-Q4,274660,4"
"Thailand-China,314824,2015-Q1,314824,4"
"Thailand-China,300058,2015-Q2,300058,4"
"Thailand-China,279159,2015-Q3,279159,4"
"Thailand-China,260387,2015-Q4,260387,4"
"Thailand-China,333969,2016-Q1,333969,4"
"Taiwan-Taiwan,270456,2016-Q2,270456,4"
"Taiwan-Taiwan,311711,2016-Q3,311711,4"
"Taiwan-Taiwan,347801,2016-Q4,347801,4"
"Taiwan-Taiwan,406461,2017-Q1,406461,4"
"Taiwan-Taiwan,407579,2017-Q2,407579,4"
"Taiwan-Taiwan,486457,2017-Q3,486457,4"
"Taiwan-Taiwan,449080,2017-Q4,449080,4"
"Taiwan-Taiwan,513139,2018-Q1,513139,4"
"Taiwan-Taiwan,556309,2018-Q2,556309,4"
"Taiwan-Taiwan,669385,2018-Q3,669385,4"
"Taiwan-Taiwan,677146,2018-Q4,677146,4"
"Philippines-Philippines,716578,2019-Q1,716578,4"
"Philippines-Philippines,741690,2019-Q2,741690,4"
"Malaysia-Malaysia,23647,2010-Q1,23647,5"
"Indonesia-Australia,22776,2010-Q2,22776,5"
"Thailand-Singapore,31863,2010-Q3,31863,5"
"Indonesia-Indonesia,40331,2010-Q4,40331,5"
"Indonesia-Indonesia,50779,2011-Q1,50779,5"
"Thailand-Australia,62506,2011-Q2,62506,5"
"Thailand-Australia,78843,2011-Q3,78843,5"
"Malaysia-Singapore,70270,2011-Q4,70270,5"
"Philippines-Philippines,89533,2012-Q1,89533,5"
"Thailand-Australia,82538,2012-Q2,82538,5"
"Thailand-China,103315,2012-Q3,103315,5"
"Philippines-Philippines,116713,2012-Q4,116713,5"
"Philippines-Philippines,134933,2013-Q1,134933,5"
"Thailand-Singapore,126792,2013-Q2,126792,5"
"Australia-Australia,160745,2013-Q3,160745,5"
"Australia-Australia,158829,2013-Q4,158829,5"
"Philippines-Philippines,185784,2014-Q1,185784,5"
"Philippines-Philippines,187373,2014-Q2,187373,5"
"Australia-Australia,182152,2014-Q3,182152,5"
"Philippines-Philippines,209567,2014-Q4,209567,5"
"Philippines-Philippines,254093,2015-Q1,254093,5"
"Philippines-Philippines,230143,2015-Q2,230143,5"
"Taiwan-Taiwan,197304,2015-Q3,197304,5"
"Philippines-Philippines,221652,2015-Q4,221652,5"
"Philippines-Philippines,289998,2016-Q1,289998,5"
"Philippines-Philippines,267274,2016-Q2,267274,5"
"Thailand-China,303231,2016-Q3,303231,5"
"Philippines-Philippines,322053,2016-Q4,322053,5"
"Philippines-Philippines,393115,2017-Q1,393115,5"
"Philippines-Philippines,369078,2017-Q2,369078,5"
"China-China,381249,2017-Q3,381249,5"
"Philippines-Philippines,421088,2017-Q4,421088,5"
"Philippines-Philippines,497363,2018-Q1,497363,5"
"Philippines-Philippines,507331,2018-Q2,507331,5"
"Philippines-Philippines,506581,2018-Q3,506581,5"
"Philippines-Philippines,613063,2018-Q4,613063,5"
"Taiwan-Taiwan,662764,2019-Q1,662764,5"
"Taiwan-Taiwan,706482,2019-Q2,706482,5"
"Thailand-Singapore,22538,2010-Q1,22538,6"
"Thailand-Singapore,18032,2010-Q2,18032,6"
"Indonesia-Australia,27114,2010-Q3,27114,6"
"Thailand-Singapore,38466,2010-Q4,38466,6"
"Thailand-Singapore,49561,2011-Q1,49561,6"
"Thailand-Singapore,51743,2011-Q2,51743,6"
"Thailand-Singapore,67310,2011-Q3,67310,6"
"Philippines-Philippines,64627,2011-Q4,64627,6"
"Indonesia-Australia,81199,2012-Q1,81199,6"
"Thailand-Singapore,79945,2012-Q2,79945,6"
"Thailand-Japan,93769,2012-Q3,93769,6"
"Thailand-Australia,105985,2012-Q4,105985,6"
"Vietnam-Vietnam,105453,2013-Q1,105453,6"
"Philippines-Philippines,121757,2013-Q2,121757,6"
"Thailand-Singapore,138605,2013-Q3,138605,6"
"Thailand-Singapore,142015,2013-Q4,142015,6"
"Australia-Australia,183541,2014-Q1,183541,6"
"Australia-Australia,166883,2014-Q2,166883,6"
"Philippines-Philippines,175833,2014-Q3,175833,6"
"Australia-Australia,174922,2014-Q4,174922,6"
"Australia-Australia,218110,2015-Q1,218110,6"
"Australia-Australia,179105,2015-Q2,179105,6"
"Philippines-Philippines,193916,2015-Q3,193916,6"
"Taiwan-Taiwan,194460,2015-Q4,194460,6"
"Taiwan-Taiwan,226298,2016-Q1,226298,6"
"Thailand-China,265004,2016-Q2,265004,6"
"Philippines-Philippines,274248,2016-Q3,274248,6"
"Thailand-China,277319,2016-Q4,277319,6"
"Japan-Taiwan,302883,2017-Q1,302883,6"
"Japan-South Korea,328771,2017-Q2,328771,6"
"Philippines-Philippines,349866,2017-Q3,349866,6"
"China-China,408382,2017-Q4,408382,6"
"China-China,462033,2018-Q1,462033,6"
"Japan-South Korea,449718,2018-Q2,449718,6"
"Japan-South Korea,478651,2018-Q3,478651,6"
"Japan-South Korea,518977,2018-Q4,518977,6"
"Japan-Japan,567626,2019-Q1,567626,6"
"Japan-Japan,603552,2019-Q2,603552,6"
"Thailand-United States,21615,2010-Q1,21615,7"
"Malaysia-Singapore,17886,2010-Q2,17886,7"
"Indonesia-Indonesia,26804,2010-Q3,26804,7"
"Malaysia-Singapore,35868,2010-Q4,35868,7"
"Indonesia-Australia,44414,2011-Q1,44414,7"
"Malaysia-Singapore,49514,2011-Q2,49514,7"
"Indonesia-Australia,61173,2011-Q3,61173,7"
"Thailand-Japan,57112,2011-Q4,57112,7"
"Thailand-Japan,78773,2012-Q1,78773,7"
"Thailand-Japan,77157,2012-Q2,77157,7"
"Thailand-Singapore,91102,2012-Q3,91102,7"
"Thailand-Singapore,103521,2012-Q4,103521,7"
"Australia-Australia,103952,2013-Q1,103952,7"
"Australia-Australia,109057,2013-Q2,109057,7"
"Thailand-Malaysia,120142,2013-Q3,120142,7"
"Philippines-Philippines,141594,2013-Q4,141594,7"
"Vietnam-Vietnam,129970,2014-Q1,129970,7"
"Thailand-Singapore,126889,2014-Q2,126889,7"
"Thailand-Singapore,169977,2014-Q3,169977,7"
"Thailand-Malaysia,170158,2014-Q4,170158,7"
"Thailand-Malaysia,165835,2015-Q1,165835,7"
"Taiwan-Taiwan,171375,2015-Q2,171375,7"
"Australia-Australia,172982,2015-Q3,172982,7"
"Thailand-Malaysia,180425,2015-Q4,180425,7"
"Japan-Taiwan,217571,2016-Q1,217571,7"
"Vietnam-Vietnam,201925,2016-Q2,201925,7"
"China-China,220016,2016-Q3,220016,7"
"Japan-Taiwan,260995,2016-Q4,260995,7"
"Vietnam-Vietnam,279852,2017-Q1,279852,7"
"Japan-Taiwan,296154,2017-Q2,296154,7"
"Japan-South Korea,347073,2017-Q3,347073,7"
"Japan-South Korea,368548,2017-Q4,368548,7"
"Japan-South Korea,433639,2018-Q1,433639,7"
"Japan-Taiwan,433952,2018-Q2,433952,7"
"Japan-Taiwan,454988,2018-Q3,454988,7"
"Japan-Japan,436632,2018-Q4,436632,7"
"Japan-South Korea,519104,2019-Q1,519104,7"
"Vietnam-Vietnam,553069,2019-Q2,553069,7"
"Indonesia-Australia,18633,2010-Q1,18633,8"
"Indonesia-Indonesia,17427,2010-Q2,17427,8"
"Thailand-United Kingdom,25147,2010-Q3,25147,8"
"Indonesia-Australia,30455,2010-Q4,30455,8"
"Philippines-Philippines,43090,2011-Q1,43090,8"
"Indonesia-Australia,48423,2011-Q2,48423,8"
"Philippines-Philippines,50144,2011-Q3,50144,8"
"Indonesia-Australia,54235,2011-Q4,54235,8"
"Thailand-Singapore,78001,2012-Q1,78001,8"
"Australia-Australia,74924,2012-Q2,74924,8"
"Philippines-Philippines,88799,2012-Q3,88799,8"
"Malaysia-Singapore,98617,2012-Q4,98617,8"
"Thailand-Singapore,98852,2013-Q1,98852,8"
"Thailand-Malaysia,105418,2013-Q2,105418,8"
"Philippines-Philippines,118103,2013-Q3,118103,8"
"Thailand-Malaysia,125135,2013-Q4,125135,8"
"Malaysia-China,105850,2014-Q1,105850,8"
"Vietnam-Vietnam,124567,2014-Q2,124567,8"
"Vietnam-Vietnam,137357,2014-Q3,137357,8"
"Thailand-Singapore,161914,2014-Q4,161914,8"
"Vietnam-Vietnam,162900,2015-Q1,162900,8"
"Thailand-Malaysia,168470,2015-Q2,168470,8"
"Vietnam-Vietnam,156842,2015-Q3,156842,8"
"Vietnam-Vietnam,165306,2015-Q4,165306,8"
"Vietnam-Vietnam,209649,2016-Q1,209649,8"
"Japan-Taiwan,201784,2016-Q2,201784,8"
"Vietnam-Vietnam,210064,2016-Q3,210064,8"
"China-China,234111,2016-Q4,234111,8"
"Thailand-China,276827,2017-Q1,276827,8"
"China-China,294795,2017-Q2,294795,8"
"Japan-Taiwan,310060,2017-Q3,310060,8"
"Japan-Taiwan,359297,2017-Q4,359297,8"
"Japan-Taiwan,419526,2018-Q1,419526,8"
"China-China,423266,2018-Q2,423266,8"
"China-China,445781,2018-Q3,445781,8"
"Japan-Taiwan,414954,2018-Q4,414954,8"
"United States-United States,498756,2019-Q1,498756,8"
"South Korea-South Korea,528123,2019-Q2,528123,8"
"Thailand-Malaysia,15010,2010-Q1,15010,9"
"Thailand-United Kingdom,14199,2010-Q2,14199,9"
"Thailand-United States,23342,2010-Q3,23342,9"
"Thailand-United Kingdom,30451,2010-Q4,30451,9"
"Thailand-United Kingdom,38320,2011-Q1,38320,9"
"Philippines-Philippines,44825,2011-Q2,44825,9"
"China-China,46293,2011-Q3,46293,9"
"Thailand-Singapore,52616,2011-Q4,52616,9"
"Vietnam-Vietnam,66677,2012-Q1,66677,9"
"Indonesia-Australia,71598,2012-Q2,71598,9"
"Australia-Australia,83723,2012-Q3,83723,9"
"Thailand-Japan,98191,2012-Q4,98191,9"
"Thailand-Malaysia,90180,2013-Q1,90180,9"
"Vietnam-Vietnam,100496,2013-Q2,100496,9"
"Thailand-Japan,116122,2013-Q3,116122,9"
"Malaysia-Singapore,116882,2013-Q4,116882,9"
"Malaysia-Singapore,98425,2014-Q1,98425,9"
"Malaysia-Singapore,122681,2014-Q2,122681,9"
"Thailand-Malaysia,133199,2014-Q3,133199,9"
"Malaysia-Singapore,138102,2014-Q4,138102,9"
"Taiwan-Taiwan,152591,2015-Q1,152591,9"
"Japan-Taiwan,167255,2015-Q2,167255,9"
"Japan-Taiwan,143042,2015-Q3,143042,9"
"Japan-Taiwan,164034,2015-Q4,164034,9"
"Thailand-Malaysia,173989,2016-Q1,173989,9"
"Thailand-Malaysia,184521,2016-Q2,184521,9"
"Japan-Taiwan,197694,2016-Q3,197694,9"
"Vietnam-Vietnam,233392,2016-Q4,233392,9"
"Japan-South Korea,273893,2017-Q1,273893,9"
"Thailand-China,288719,2017-Q2,288719,9"
"Thailand-China,308444,2017-Q3,308444,9"
"Thailand-China,314487,2017-Q4,314487,9"
"Vietnam-Vietnam,355908,2018-Q1,355908,9"
"Vietnam-Vietnam,384013,2018-Q2,384013,9"
"Japan-Japan,444674,2018-Q3,444674,9"
"South Korea-South Korea,397907,2018-Q4,397907,9"
"Japan-Taiwan,486943,2019-Q1,486943,9"
"United States-United States,511568,2019-Q2,511568,9"
"Thailand-China,13498,2010-Q1,13498,10"
"Philippines-Philippines,14072,2010-Q2,14072,10"
"Thailand-Malaysia,20533,2010-Q3,20533,10"
"Philippines-Philippines,27013,2010-Q4,27013,10"
"Vietnam-Vietnam,34428,2011-Q1,34428,10"
"Thailand-Malaysia,39237,2011-Q2,39237,10"
"Vietnam-Vietnam,45921,2011-Q3,45921,10"
"Vietnam-Vietnam,51783,2011-Q4,51783,10"
"Australia-Australia,65062,2012-Q1,65062,10"
"Malaysia-Singapore,68924,2012-Q2,68924,10"
"Indonesia-Australia,83540,2012-Q3,83540,10"
"Australia-Australia,92699,2012-Q4,92699,10"
"Thailand-Australia,88225,2013-Q1,88225,10"
"Malaysia-Singapore,98201,2013-Q2,98201,10"
"Vietnam-Vietnam,107672,2013-Q3,107672,10"
"Vietnam-Vietnam,105370,2013-Q4,105370,10"
"Indonesia-Australia,97145,2014-Q1,97145,10"
"China-China,118124,2014-Q2,118124,10"
"China-China,129372,2014-Q3,129372,10"
"Vietnam-Vietnam,133201,2014-Q4,133201,10"
"Thailand-Singapore,144407,2015-Q1,144407,10"
"Thailand-Singapore,157437,2015-Q2,157437,10"
"Thailand-Malaysia,128194,2015-Q3,128194,10"
"Malaysia-Singapore,153047,2015-Q4,153047,10"
"Australia-Australia,168891,2016-Q1,168891,10"
"Australia-Australia,177209,2016-Q2,177209,10"
"Australia-Australia,188612,2016-Q3,188612,10"
"Japan-Hong Kong,201211,2016-Q4,201211,10"
"Japan-Hong Kong,220996,2017-Q1,220996,10"
"Vietnam-Vietnam,283925,2017-Q2,283925,10"
"Vietnam-Vietnam,278134,2017-Q3,278134,10"
"Vietnam-Vietnam,286014,2017-Q4,286014,10"
"Thailand-China,341905,2018-Q1,341905,10"
"Japan-Hong Kong,343080,2018-Q2,343080,10"
"South Korea-South Korea,417621,2018-Q3,417621,10"
"Vietnam-Vietnam,394680,2018-Q4,394680,10"
"Vietnam-Vietnam,476059,2019-Q1,476059,10"
"China-China,509933,2019-Q2,509933,10"
